filename,words_sentences,blw,lable,predict
data/ppVietnamese_by_catalog/Normal/GTTH_TT_/GTTH_TT_ (646).txt,23.6923076923,17.7966101695,2,1.0
data/ppVietnamese_by_catalog/Easy/sgk/sgk (668).txt,17.5,13.6363636364,1,1.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (412).txt,11.1904761905,12.5,2,1.0
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (175).txt,18.0,9.09090909091,2,1.0
data/ppVietnamese_by_catalog/Easy/sgk/sgk (632).txt,10.8333333333,24.4186046512,1,1.0
data/ppVietnamese_by_catalog/Easy/sgk/sgk (614).txt,10.6,7.14285714286,1,1.0
data/ppVietnamese_by_catalog/Easy/vm-9/vm-9 (165).txt,19.1428571429,16.2601626016,1,1.0
data/ppVietnamese_by_catalog/Normal/GTTH_TT_/GTTH_TT_ (312).txt,18.4285714286,10.8108108108,2,1.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (738).txt,12.0217391304,14.1700404858,2,1.0
data/ppVietnamese_by_catalog/Normal/HV_VNE_/HV_VNE_ (211).txt,21.9,12.1212121212,2,1.0
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (306).txt,19.5333333333,10.2564102564,2,1.0
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (127).txt,38.76,12.2857142857,3,3.0
data/ppVietnamese_by_catalog/Normal/LS_VNE_/LS_VNE_ (27).txt,18.8,18.6440677966,2,1.0
data/ppVietnamese_by_catalog/Difficult/ttnq/ttnq (81).txt,17.0,22.2891566265,3,1.0
data/ppVietnamese_by_catalog/Normal/DH_VNE_/DH_VNE_ (312).txt,11.7272727273,14.7058823529,2,1.0
data/ppVietnamese_by_catalog/Normal/HS_VNE_/HS_VNE_ (149).txt,10.7272727273,28.0701754386,2,1.0
data/ppVietnamese_by_catalog/Normal/GTTH_TT_/GTTH_TT_ (700).txt,18.5,14.2857142857,2,1.0
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (421).txt,33.1351351351,13.0057803468,3,3.0
data/ppVietnamese_by_catalog/Difficult/l/l (77).txt,32.1398601399,12.1338912134,3,3.0
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (206).txt,24.65625,11.2970711297,3,1.0
data/ppVietnamese_by_catalog/Easy/sgk/sgk (598).txt,22.3333333333,13.5135135135,1,1.0
data/ppVietnamese_by_catalog/Normal/HV_VNE_/HV_VNE_ (105).txt,24.7142857143,9.23076923077,2,2.0
data/ppVietnamese_by_catalog/Difficult/l/l (149).txt,21.9758241758,11.43847487,3,1.0
data/ppVietnamese_by_catalog/Normal/HV_VNE_/HV_VNE_ (54).txt,24.9,11.214953271,2,1.0
data/ppVietnamese_by_catalog/Easy/tn-3/tn-3 (232).txt,8.17105263158,18.1818181818,1,1.0
data/ppVietnamese_by_catalog/Easy/t/t (34).txt,12.90625,12.8834355828,1,1.0
data/ppVietnamese_by_catalog/Normal/DL_TN_/DL_TN_ (312).txt,24.8888888889,10.8108108108,2,1.0
data/ppVietnamese_by_catalog/Easy/tn-2/tn-2 (278).txt,12.7111111111,17.5879396985,1,1.0
data/ppVietnamese_by_catalog/Difficult/tl/tl (114).txt,11.8465116279,10.5,3,1.0
data/ppVietnamese_by_catalog/Normal/AN_VNE_/AN_VNE_ (155).txt,12.8214285714,12.3505976096,2,1.0
data/ppVietnamese_by_catalog/Easy/sgk/sgk (588).txt,14.75,19.6202531646,1,1.0
data/ppVietnamese_by_catalog/Normal/DH_VNE_/DH_VNE_ (584).txt,26.6666666667,16.6666666667,2,1.0
data/ppVietnamese_by_catalog/Normal/GTTH_TT_/GTTH_TT_ (162).txt,19.40625,11.961722488,2,1.0
data/ppVietnamese_by_catalog/Easy/sgk/sgk (641).txt,12.1666666667,19.1489361702,1,1.0
data/ppVietnamese_by_catalog/Difficult/tl/tl (139).txt,18.470212766,10.7692307692,3,1.0
data/ppVietnamese_by_catalog/Easy/sgk/sgk (298).txt,12.25,9.52380952381,1,1.0
data/ppVietnamese_by_catalog/Easy/sgk/sgk (349).txt,13.5,8.82352941176,1,1.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (288).txt,13.8,11.25,2,1.0
data/ppVietnamese_by_catalog/Normal/HV_VNE_/HV_VNE_ (148).txt,17.075,15.7894736842,2,1.0
data/ppVietnamese_by_catalog/Easy/vm-9/vm-9 (112).txt,15.0909090909,8.33333333333,1,1.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (430).txt,20.3333333333,6.04026845638,2,1.0
data/ppVietnamese_by_catalog/Easy/tn-3/tn-3 (19).txt,10.90625,12.8205128205,1,1.0
data/ppVietnamese_by_catalog/Normal/LD_TN_/LD_TN_ (735).txt,17.8,14.7959183673,2,1.0
data/ppVietnamese_by_catalog/Normal/DH_VNE_/DH_VNE_ (7).txt,16.2857142857,18.4615384615,2,1.0
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (933).txt,29.380952381,11.1111111111,3,3.0
data/ppVietnamese_by_catalog/Easy/tn-2/tn-2 (280).txt,15.8181818182,15.2941176471,1,1.0
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (960).txt,24.3738317757,8.39416058394,3,2.0
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (67).txt,32.3300970874,11.1782477341,3,3.0
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (33).txt,29.2839506173,8.40787119857,3,3.0
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (401).txt,26.6931818182,10.8291032149,3,2.0
data/ppVietnamese_by_catalog/Normal/MS_VNE_/MS_VNE_ (76).txt,13.4117647059,12.5,2,1.0
data/ppVietnamese_by_catalog/Normal/GTTH_TT_/GTTH_TT_ (562).txt,18.4871794872,15.625,2,1.0
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (28).txt,26.6956521739,15.5844155844,1,1.0
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (859).txt,26.6831683168,10.6690777577,3,2.0
data/ppVietnamese_by_catalog/Easy/tn-1/tn-1 (175).txt,15.0,7.14285714286,1,1.0
data/ppVietnamese_by_catalog/Easy/vm-12/vm-12 (8).txt,20.4705882353,16.5803108808,1,1.0
data/ppVietnamese_by_catalog/Normal/AN_VNE_/AN_VNE_ (866).txt,12.7884615385,11.7117117117,2,1.0
data/ppVietnamese_by_catalog/Normal/TGT_TT_/TGT_TT_ (291).txt,27.243902439,13.672922252,2,1.0
data/ppVietnamese_by_catalog/Easy/tn-1/tn-1 (298).txt,11.0952380952,13.2653061224,1,1.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (463).txt,16.9166666667,17.2839506173,2,1.0
data/ppVietnamese_by_catalog/Easy/tn-2/tn-2 (339).txt,12.8,5.97014925373,1,1.0
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (355).txt,30.2,12.987012987,2,3.0
data/ppVietnamese_by_catalog/Normal/HV_VNE_/HV_VNE_ (309).txt,21.8571428571,9.32203389831,2,1.0
data/ppVietnamese_by_catalog/Normal/AN_VNE_/AN_VNE_ (647).txt,19.4444444444,14.2857142857,2,1.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (529).txt,23.6923076923,14.880952381,2,1.0
data/ppVietnamese_by_catalog/Normal/HV_VNE_/HV_VNE_ (38).txt,23.5,12.7450980392,2,1.0
data/ppVietnamese_by_catalog/Easy/tn-3/tn-3 (229).txt,29.0909090909,11.8881118881,1,3.0
data/ppVietnamese_by_catalog/Normal/GTTH_TT_/GTTH_TT_ (734).txt,20.8333333333,15.4929577465,2,1.0
data/ppVietnamese_by_catalog/Normal/AN_VNE_/AN_VNE_ (197).txt,22.7586206897,10.8910891089,2,1.0
data/ppVietnamese_by_catalog/Normal/TGT_TT_/TGT_TT_ (272).txt,12.0,19.512195122,2,1.0
data/ppVietnamese_by_catalog/Easy/vm-9/vm-9 (150).txt,17.1428571429,17.1171171171,1,1.0
data/ppVietnamese_by_catalog/Difficult/ttnq/ttnq (218).txt,43.1875,12.9032258065,3,3.0
data/ppVietnamese_by_catalog/Normal/DH_VNE_/DH_VNE_ (400).txt,11.0625,27.9411764706,2,1.0
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (448).txt,37.679245283,10.7142857143,3,3.0
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (264).txt,15.303030303,11.9170984456,2,1.0
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (517).txt,28.2837837838,15.0837988827,3,1.0
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (41).txt,37.7619047619,11.0,3,3.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (209).txt,15.2191780822,11.4845938375,2,1.0
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (221).txt,20.8,14.0350877193,2,1.0
data/ppVietnamese_by_catalog/Normal/MS_VNE_/MS_VNE_ (33).txt,23.4,11.4093959732,2,1.0
data/ppVietnamese_by_catalog/Easy/mnhp/mnhp (44).txt,14.2608695652,19.6078431373,1,1.0
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (688).txt,18.9322033898,13.1097560976,3,1.0
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (555).txt,24.3416666667,10.5341246291,3,1.0
data/ppVietnamese_by_catalog/Easy/tn-3/tn-3 (50).txt,16.12,14.0740740741,1,1.0
data/ppVietnamese_by_catalog/Easy/vm-9/vm-9 (95).txt,11.0,22.5806451613,1,1.0
data/ppVietnamese_by_catalog/Normal/GTTH_TT_/GTTH_TT_ (811).txt,17.8333333333,8.0,2,1.0
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (263).txt,38.4637681159,11.4232209738,3,3.0
data/ppVietnamese_by_catalog/Easy/vm-9/vm-9 (63).txt,15.2727272727,18.9873417722,1,1.0
data/ppVietnamese_by_catalog/Normal/HS_VNE_/HS_VNE_ (22).txt,14.4285714286,22.8070175439,2,1.0
data/ppVietnamese_by_catalog/Normal/DH_VNE_/DH_VNE_ (535).txt,19.0,19.3181818182,2,1.0
data/ppVietnamese_by_catalog/Normal/HV_VNE_/HV_VNE_ (99).txt,18.5454545455,16.3265306122,2,1.0
data/ppVietnamese_by_catalog/Difficult/l/l (211).txt,31.3443396226,12.6728110599,3,3.0
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (816).txt,35.1206896552,8.72641509434,3,3.0
data/ppVietnamese_by_catalog/Easy/vm-12/vm-12 (16).txt,14.5,16.049382716,1,1.0
data/ppVietnamese_by_catalog/Easy/mn/mn (4).txt,8.53488372093,16.3461538462,1,1.0
data/ppVietnamese_by_catalog/Normal/HV_VNE_/HV_VNE_ (103).txt,21.0,14.4736842105,2,1.0
data/ppVietnamese_by_catalog/Normal/GTTH_TT_/GTTH_TT_ (406).txt,16.3333333333,15.5555555556,2,1.0
data/ppVietnamese_by_catalog/Normal/MS_VNE_/MS_VNE_ (130).txt,20.4545454545,15.1515151515,2,1.0
data/ppVietnamese_by_catalog/Normal/TGT_TT_/TGT_TT_ (301).txt,18.8918918919,16.796875,2,1.0
data/ppVietnamese_by_catalog/Normal/GTTH_TT_/GTTH_TT_ (579).txt,22.0,12.9032258065,2,1.0
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (53).txt,10.9142857143,15.6398104265,1,1.0
data/ppVietnamese_by_catalog/Normal/LS_NLD_/LS_NLD_ (168).txt,12.1470588235,9.75609756098,2,1.0
data/ppVietnamese_by_catalog/Normal/HV_VNE_/HV_VNE_ (172).txt,21.4545454545,11.0,2,1.0
data/ppVietnamese_by_catalog/Normal/TGT_TT_/TGT_TT_ (251).txt,16.4814814815,14.2131979695,2,1.0
data/ppVietnamese_by_catalog/Easy/sgk/sgk (36).txt,10.1428571429,5.31914893617,1,1.0
data/ppVietnamese_by_catalog/Easy/vm-8/vm-8 (9).txt,14.65,14.6551724138,1,1.0
data/ppVietnamese_by_catalog/Normal/DH_VNE_/DH_VNE_ (539).txt,19.1111111111,16.4179104478,2,1.0
data/ppVietnamese_by_catalog/Easy/tn-3/tn-3 (24).txt,21.0,12.5874125874,1,1.0
data/ppVietnamese_by_catalog/Normal/AN_VNE_/AN_VNE_ (128).txt,17.5,10.2941176471,2,1.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (269).txt,12.4285714286,14.7928994083,2,1.0
data/ppVietnamese_by_catalog/Normal/MS_VNE_/MS_VNE_ (155).txt,25.1428571429,20.0,2,1.0
data/ppVietnamese_by_catalog/Easy/tn-2/tn-2 (305).txt,25.0,10.8695652174,1,1.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (900).txt,21.4615384615,17.2413793103,2,1.0
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (864).txt,25.6593406593,9.28433268859,3,2.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (602).txt,15.4166666667,13.0952380952,2,1.0
data/ppVietnamese_by_catalog/Easy/vm-5/vm-5 (72).txt,13.8076923077,17.0068027211,1,1.0
data/ppVietnamese_by_catalog/Normal/HV_VNE_/HV_VNE_ (12).txt,22.0,12.5,2,1.0
data/ppVietnamese_by_catalog/Easy/sgk/sgk (543).txt,17.5,2.7027027027,1,1.0
data/ppVietnamese_by_catalog/Easy/sgk/sgk (104).txt,10.9230769231,16.4835164835,1,1.0
data/ppVietnamese_by_catalog/Easy/tn-2/tn-2 (226).txt,8.33333333333,15.3465346535,1,1.0
data/ppVietnamese_by_catalog/Normal/KGS_NLD_/KGS_NLD_ (127).txt,16.6923076923,12.3456790123,2,1.0
data/ppVietnamese_by_catalog/Easy/tn-2/tn-2 (117).txt,16.9,14.5038167939,1,1.0
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (675).txt,33.2307692308,9.6,3,3.0
data/ppVietnamese_by_catalog/Normal/HS_VNE_/HS_VNE_ (20).txt,15.1333333333,18.6274509804,2,1.0
data/ppVietnamese_by_catalog/Normal/DH_VNE_/DH_VNE_ (368).txt,11.12,14.4144144144,2,1.0
data/ppVietnamese_by_catalog/Difficult/ttnq/ttnq (186).txt,25.0172413793,15.2173913043,3,1.0
data/ppVietnamese_by_catalog/Easy/tn-1/tn-1 (209).txt,14.9473684211,15.3153153153,1,1.0
data/ppVietnamese_by_catalog/Difficult/ttnq/ttnq (264).txt,45.8347107438,14.3369175627,3,3.0
data/ppVietnamese_by_catalog/Easy/gs/gs (166).txt,14.7,15.9544159544,1,1.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (643).txt,13.0,9.375,2,1.0
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (108).txt,21.4534883721,14.4186046512,1,1.0
data/ppVietnamese_by_catalog/Easy/vm-4/vm-4 (17).txt,10.6923076923,13.698630137,1,1.0
